benchmark,v_km_s,sigma_even,sigma_odd_raw,sigma_odd_x3,sigma_maj,sigma_dirac,R_triplet,maj_dir_ratio
MAP_relic,1637.1044,5.216851e-02,5.228986e-02,1.568696e-01,2.090381e-01,1.044584e-01,0.750435,2.001162
MAP_relic,1678.2312,5.033134e-02,5.036407e-02,1.510922e-01,2.014235e-01,1.006954e-01,0.750122,2.000325
MAP_relic,1720.3912,4.844922e-02,4.858123e-02,1.457437e-01,1.941929e-01,9.703045e-02,0.750510,2.001361
MAP_relic,1763.6103,4.670888e-02,4.675399e-02,1.402620e-01,1.869708e-01,9.346287e-02,0.750181,2.000483
MAP_relic,1807.9151,4.501190e-02,4.506380e-02,1.351914e-01,1.802033e-01,9.007571e-02,0.750216,2.000576
MAP_relic,1853.3330,4.328308e-02,4.341536e-02,1.302461e-01,1.735292e-01,8.669844e-02,0.750572,2.001526
MAP_relic,1899.8918,4.168096e-02,4.173532e-02,1.252060e-01,1.668869e-01,8.341628e-02,0.750244,2.000652
MAP_relic,1947.6202,4.004983e-02,4.017844e-02,1.205353e-01,1.605851e-01,8.022827e-02,0.750601,2.001603
MAP_relic,1996.5477,3.854049e-02,3.859289e-02,1.157787e-01,1.543192e-01,7.713339e-02,0.750255,2.000679
MAP_relic,2046.7043,3.700449e-02,3.712604e-02,1.113781e-01,1.483826e-01,7.413053e-02,0.750614,2.001640
MAP_relic,2098.1209,3.558558e-02,3.570044e-02,1.071013e-01,1.426869e-01,7.128602e-02,0.750604,2.001611
MAP_relic,2150.8292,3.420800e-02,3.425423e-02,1.027627e-01,1.369707e-01,6.846222e-02,0.750253,2.000675
MAP_relic,2204.8617,3.281086e-02,3.291594e-02,9.874783e-02,1.315587e-01,6.572680e-02,0.750599,2.001599
MAP_relic,2260.2515,3.151997e-02,3.161795e-02,9.485386e-02,1.263738e-01,6.313792e-02,0.750582,2.001552
MAP_relic,2317.0328,3.026895e-02,3.030504e-02,9.091512e-02,1.211841e-01,6.057399e-02,0.750223,2.000596
MAP_relic,2375.2405,2.900342e-02,2.909080e-02,8.727240e-02,1.162758e-01,5.809422e-02,0.750564,2.001504
MAP_relic,2434.9105,2.783478e-02,2.791534e-02,8.374602e-02,1.115808e-01,5.575011e-02,0.750542,2.001445
MAP_relic,2496.0795,2.670416e-02,2.672893e-02,8.018678e-02,1.068909e-01,5.343309e-02,0.750174,2.000463
MAP_relic,2558.7852,2.561104e-02,2.563296e-02,7.689889e-02,1.025099e-01,5.124400e-02,0.750160,2.000428
MAP_relic,2623.0662,2.450957e-02,2.457387e-02,7.372160e-02,9.823116e-02,4.908343e-02,0.750491,2.001310
