v0_km_s,BP1_sigma_fixed,BP1_sigma_avg,BP1_epsilon,BP1_eta,MAP_sigma_fixed,MAP_sigma_avg,MAP_epsilon,MAP_eta
309.6822,2.88833210e-01,2.42387155e-01,-1.60805796e-01,-6.34589618e-01,7.08026103e-01,6.20835009e-01,-1.23146723e-01,-6.51946705e-01
324.3774,2.80195797e-01,2.33705010e-01,-1.65922500e-01,-6.75916437e-01,6.86694688e-01,6.01186592e-01,-1.24521272e-01,-6.67502022e-01
339.7698,2.71287020e-01,2.24997896e-01,-1.70627862e-01,-7.18581238e-01,6.65533611e-01,5.81807448e-01,-1.25803058e-01,-6.82570549e-01
355.8926,2.62135270e-01,2.16289373e-01,-1.74894045e-01,-7.62284822e-01,6.44581186e-01,5.62705859e-01,-1.27020969e-01,-6.97051719e-01
372.7805,2.52774338e-01,2.07603336e-01,-1.78700902e-01,-8.06743115e-01,6.23879617e-01,5.43890640e-01,-1.28212197e-01,-7.11073800e-01
390.4698,2.43242332e-01,1.98963728e-01,-1.82034943e-01,-8.51690295e-01,6.03453459e-01,5.25374012e-01,-1.29387686e-01,-7.24939412e-01
408.9985,2.33580578e-01,1.90394130e-01,-1.84888865e-01,-8.96882306e-01,5.83322335e-01,5.07162154e-01,-1.30562772e-01,-7.38565774e-01
428.4064,2.23832473e-01,1.81917525e-01,-1.87260356e-01,-9.42096658e-01,5.63511622e-01,4.89261908e-01,-1.31762525e-01,-7.52079810e-01
448.7352,2.14042468e-01,1.73556018e-01,-1.89151483e-01,-9.87131765e-01,5.44030831e-01,4.71681752e-01,-1.32987094e-01,-7.65721838e-01
470.0287,2.04255058e-01,1.65330568e-01,-1.90568062e-01,-1.03180780e+00,5.24890172e-01,4.54428649e-01,-1.34240506e-01,-7.79510085e-01
492.3326,1.94513900e-01,1.57260762e-01,-1.91519156e-01,-1.07596480e+00,5.06097095e-01,4.37508205e-01,-1.35525161e-01,-7.93598953e-01
515.6949,1.84861035e-01,1.49364718e-01,-1.92016219e-01,-1.11946139e+00,4.87653602e-01,4.20924118e-01,-1.36837877e-01,-8.07902852e-01
540.1658,1.75336228e-01,1.41659013e-01,-1.92072201e-01,-1.16216856e+00,4.69570542e-01,4.04683317e-01,-1.38184189e-01,-8.22477660e-01
565.7978,1.65976516e-01,1.34158162e-01,-1.91703951e-01,-1.20398244e+00,4.51847132e-01,3.88789148e-01,-1.39556012e-01,-8.37514579e-01
592.6462,1.56815557e-01,1.26875170e-01,-1.90927407e-01,-1.24481161e+00,4.34485637e-01,3.73245713e-01,-1.40948098e-01,-8.52964617e-01
620.7686,1.47883596e-01,1.19821275e-01,-1.89759527e-01,-1.28456888e+00,4.17487966e-01,3.58055867e-01,-1.42356438e-01,-8.68848131e-01
650.2255,1.39207149e-01,1.13005379e-01,-1.88221442e-01,-1.32318634e+00,4.00855874e-01,3.43222202e-01,-1.43776543e-01,-8.85094047e-01
681.0801,1.30808911e-01,1.06435040e-01,-1.86331887e-01,-1.36059060e+00,3.84594077e-01,3.28747983e-01,-1.45207889e-01,-9.01871919e-01
713.3989,1.22707938e-01,1.00115885e-01,-1.84112396e-01,-1.39675417e+00,3.68698407e-01,3.14635106e-01,-1.46632859e-01,-9.19190900e-01
747.2512,1.14919095e-01,9.40517683e-02,-1.81582762e-01,-1.43164481e+00,3.53173568e-01,3.00883606e-01,-1.48057405e-01,-9.36891922e-01
782.7100,1.07453986e-01,8.82449401e-02,-1.78765316e-01,-1.46521208e+00,3.38021302e-01,2.87495641e-01,-1.49474783e-01,-9.54972705e-01
819.8513,1.00320657e-01,8.26960863e-02,-1.75682371e-01,-1.49741340e+00,3.23245819e-01,2.74471935e-01,-1.50887903e-01,-9.73597337e-01
858.7551,9.35242004e-02,7.74046412e-02,-1.72357091e-01,-1.52827764e+00,3.08843744e-01,2.61812979e-01,-1.52280128e-01,-9.92784497e-01
899.5050,8.70660791e-02,7.23684604e-02,-1.68809931e-01,-1.55781174e+00,2.94818693e-01,2.49518597e-01,-1.53654083e-01,-1.01229611e+00
942.1885,8.09456155e-02,6.75845247e-02,-1.65062563e-01,-1.58597583e+00,2.81174031e-01,2.37589443e-01,-1.55009292e-01,-1.03233394e+00
986.8974,7.51595530e-02,6.30483592e-02,-1.61139780e-01,-1.61272895e+00,2.67907284e-01,2.26025649e-01,-1.56328842e-01,-1.05312463e+00
1033.7279,6.97029605e-02,5.87549423e-02,-1.57066760e-01,-1.63818274e+00,2.55016043e-01,2.14823517e-01,-1.57607836e-01,-1.07443030e+00
1082.7806,6.45679649e-02,5.46983235e-02,-1.52856628e-01,-1.66232546e+00,2.42503981e-01,2.03984770e-01,-1.58839502e-01,-1.09630698e+00
1134.1610,5.97464277e-02,5.08716703e-02,-1.48540385e-01,-1.68516604e+00,2.30367343e-01,1.93507557e-01,-1.60004388e-01,-1.11898246e+00
1187.9795,5.52278406e-02,4.72675487e-02,-1.44135490e-01,-1.70679860e+00,2.18604540e-01,1.83390313e-01,-1.61086440e-01,-1.14206355e+00
1244.3517,5.10013649e-02,4.38788234e-02,-1.39653938e-01,-1.72708293e+00,2.07220051e-01,1.73627473e-01,-1.62110654e-01,-1.16593126e+00
1303.3990,4.70555766e-02,4.06968556e-02,-1.35132145e-01,-1.74622638e+00,1.96204482e-01,1.64225932e-01,-1.62985828e-01,-1.19046283e+00
