v0_km_s,BP1_sigma_fixed,BP1_sigma_avg,BP1_epsilon,BP1_eta,MAP_sigma_fixed,MAP_sigma_avg,MAP_epsilon,MAP_eta
295.6529,4.77186878e-01,4.02271598e-01,-1.56993587e-01,-8.31479585e-01,5.96279320e-01,5.15856624e-01,-1.34874199e-01,-7.75242537e-01
309.6822,4.58896981e-01,3.86658276e-01,-1.57418131e-01,-8.54204983e-01,5.75002250e-01,4.96367376e-01,-1.36755767e-01,-7.92233896e-01
324.3774,4.40850133e-01,3.71260818e-01,-1.57852544e-01,-8.76323567e-01,5.54048408e-01,4.77271356e-01,-1.38574628e-01,-8.09369847e-01
339.7698,4.23084391e-01,3.56105311e-01,-1.58311395e-01,-8.98013063e-01,5.33430041e-01,4.58573662e-01,-1.40330266e-01,-8.26836919e-01
355.8926,4.05629355e-01,3.41215059e-01,-1.58800873e-01,-9.19426212e-01,5.13159372e-01,4.40275086e-01,-1.42030508e-01,-8.44425101e-01
372.7805,3.88510830e-01,3.26610869e-01,-1.59326217e-01,-9.40640368e-01,4.93257588e-01,4.22379229e-01,-1.43694411e-01,-8.62162788e-01
390.4698,3.71750226e-01,3.12311074e-01,-1.59890023e-01,-9.61834342e-01,4.73733722e-01,4.04890867e-01,-1.45319727e-01,-8.80218027e-01
408.9985,3.55362458e-01,2.98331379e-01,-1.60487068e-01,-9.83137070e-01,4.54599290e-01,3.87811897e-01,-1.46914864e-01,-8.98626508e-01
428.4064,3.39360920e-01,2.84685750e-01,-1.61112157e-01,-1.00457510e+00,4.35860987e-01,3.71144658e-01,-1.48479288e-01,-9.17255395e-01
448.7352,3.23756768e-01,2.71386589e-01,-1.61757789e-01,-1.02631122e+00,4.17534431e-01,3.54895224e-01,-1.50021657e-01,-9.36150989e-01
470.0287,3.08555904e-01,2.58443190e-01,-1.62410485e-01,-1.04843923e+00,3.99623154e-01,3.39061233e-01,-1.51547576e-01,-9.55526035e-01
492.3326,2.93764848e-01,2.45865411e-01,-1.63053671e-01,-1.07090435e+00,3.82133169e-01,3.23647840e-01,-1.53049602e-01,-9.75336378e-01
515.6949,2.79389574e-01,2.33658523e-01,-1.63682024e-01,-1.09386570e+00,3.65069333e-01,3.08660407e-01,-1.54515652e-01,-9.95627383e-01
540.1658,2.65430939e-01,2.21829924e-01,-1.64265007e-01,-1.11731825e+00,3.48435470e-01,2.94092212e-01,-1.55963622e-01,-1.01644347e+00
565.7978,2.51893821e-01,2.10382084e-01,-1.64798552e-01,-1.14127830e+00,3.32234511e-01,2.79951351e-01,-1.57368238e-01,-1.03773643e+00
592.6462,2.38777845e-01,1.99319229e-01,-1.65252417e-01,-1.16574375e+00,3.16471288e-01,2.66238307e-01,-1.58728401e-01,-1.05971752e+00
620.7686,2.26086595e-01,1.88643017e-01,-1.65616089e-01,-1.19071065e+00,3.01142155e-01,2.52950104e-01,-1.60030905e-01,-1.08242367e+00
650.2255,2.13818830e-01,1.78353187e-01,-1.65867724e-01,-1.21614186e+00,2.86250849e-01,2.40089592e-01,-1.61261555e-01,-1.10582097e+00
681.0801,2.01977344e-01,1.68450625e-01,-1.65992474e-01,-1.24201630e+00,2.71795243e-01,2.27657322e-01,-1.62394014e-01,-1.12982764e+00
713.3989,1.90560055e-01,1.58933154e-01,-1.65968155e-01,-1.26826399e+00,2.57780682e-01,2.15650650e-01,-1.63433629e-01,-1.15457402e+00
747.2512,1.79569108e-01,1.49798070e-01,-1.65791532e-01,-1.29485236e+00,2.44201843e-01,2.04068614e-01,-1.64344498e-01,-1.18009002e+00
782.7100,1.69001346e-01,1.41043215e-01,-1.65431413e-01,-1.32168029e+00,2.31062765e-01,1.92911144e-01,-1.65113668e-01,-1.20629776e+00
819.8513,1.58858186e-01,1.32663765e-01,-1.64891857e-01,-1.34861529e+00,2.18360052e-01,1.82175328e-01,-1.65711282e-01,-1.23281908e+00
858.7551,1.49136349e-01,1.24653969e-01,-1.64161051e-01,-1.37581600e+00,2.06103916e-01,1.71855773e-01,-1.66169298e-01,-1.26006426e+00
899.5050,1.39832336e-01,1.17009806e-01,-1.63213538e-01,-1.40295546e+00,1.94281902e-01,1.61953234e-01,-1.66400822e-01,-1.28852101e+00
942.1885,1.30944921e-01,1.09723389e-01,-1.62064569e-01,-1.43003650e+00,1.82894014e-01,1.52455206e-01,-1.66428675e-01,-1.31641008e+00
986.8974,1.22467894e-01,1.02788472e-01,-1.60690459e-01,-1.45700827e+00,1.71958063e-01,1.43366415e-01,-1.66271051e-01,-1.34496105e+00
1033.7279,1.14397671e-01,9.61952311e-02,-1.59115476e-01,-1.48373128e+00,1.61450720e-01,1.34685520e-01,-1.65779381e-01,-1.37373578e+00
