benchmark,v_km_s,sigma_even,sigma_odd_raw,sigma_odd_x3,sigma_maj,sigma_dirac,R_triplet,maj_dir_ratio
MAP_relic,318.3458,1.436912e-01,1.393248e-01,4.179745e-01,5.616656e-01,2.830160e-01,0.744170,1.984572
MAP_relic,326.3431,1.406652e-01,1.365696e-01,4.097088e-01,5.503740e-01,2.772348e-01,0.744419,1.985227
MAP_relic,334.5414,1.376728e-01,1.338294e-01,4.014883e-01,5.391611e-01,2.715022e-01,0.744654,1.985844
MAP_relic,342.9457,1.349223e-01,1.311049e-01,3.933148e-01,5.282371e-01,2.660272e-01,0.744580,1.985651
MAP_relic,351.5610,1.320203e-01,1.283968e-01,3.851904e-01,5.172107e-01,2.604171e-01,0.744746,1.986086
MAP_relic,360.3928,1.291510e-01,1.258957e-01,3.776870e-01,5.068380e-01,2.550467e-01,0.745183,1.987236
MAP_relic,369.4465,1.263135e-01,1.232456e-01,3.697369e-01,4.960504e-01,2.495591e-01,0.745362,1.987707
MAP_relic,378.7276,1.235069e-01,1.206155e-01,3.618464e-01,4.853533e-01,2.441224e-01,0.745532,1.988156
MAP_relic,388.2419,1.209267e-01,1.180057e-01,3.540171e-01,4.749437e-01,2.389324e-01,0.745387,1.987775
MAP_relic,397.9952,1.182026e-01,1.154168e-01,3.462503e-01,4.644529e-01,2.336193e-01,0.745501,1.988075
MAP_relic,407.9935,1.155088e-01,1.130316e-01,3.390948e-01,4.546036e-01,2.285404e-01,0.745913,1.989161
MAP_relic,418.2429,1.128447e-01,1.105066e-01,3.315197e-01,4.443645e-01,2.233513e-01,0.746054,1.989532
MAP_relic,428.7499,1.103812e-01,1.080050e-01,3.240149e-01,4.343961e-01,2.183862e-01,0.745897,1.989119
MAP_relic,439.5208,1.077943e-01,1.055271e-01,3.165812e-01,4.243755e-01,2.133213e-01,0.745993,1.989372
MAP_relic,450.5623,1.052368e-01,1.032356e-01,3.097069e-01,4.149437e-01,2.084724e-01,0.746383,1.990401
MAP_relic,461.8812,1.027084e-01,1.008237e-01,3.024712e-01,4.051796e-01,2.035321e-01,0.746511,1.990740
MAP_relic,473.4844,1.003640e-01,9.843732e-02,2.953120e-01,3.956760e-01,1.988014e-01,0.746348,1.990308
