v_km_s,BP1_S0,BP1_sigmaT_Maj,BP1_sigmaT_Dir,BP1_Phi_Maj,BP1_Phi_Dir,MAP_S0,MAP_sigmaT_Maj,MAP_sigmaT_Dir,MAP_Phi_Maj,MAP_Phi_Dir
208.7935,2.38341846e+01,6.16367427e-01,5.95081540e-01,3.86687932e+01,4.00519643e+01,2.95231236e+01,7.64661871e-01,7.77157168e-01,3.86093837e+01,3.79886139e+01
214.0388,2.32607981e+01,6.06704292e-01,5.85019371e-01,3.83395971e+01,3.97607315e+01,2.87996414e+01,7.52177314e-01,7.63732459e-01,3.82883675e+01,3.77090709e+01
219.4158,2.26995188e+01,5.96943497e-01,5.75000878e-01,3.80262436e+01,3.94773637e+01,2.80938894e+01,7.39766439e-01,7.50871420e-01,3.79767017e+01,3.74150469e+01
224.9279,2.21502745e+01,5.87101453e-01,5.65027717e-01,3.77281889e+01,3.92021025e+01,2.74054319e+01,7.27427156e-01,7.37676648e-01,3.76744691e+01,3.71510091e+01
230.5784,2.16129805e+01,5.77193272e-01,5.55101427e-01,3.74449625e+01,3.89351917e+01,2.67338443e+01,7.15162177e-01,7.24564673e-01,3.73815131e+01,3.68964224e+01
236.3709,2.10875399e+01,5.67233919e-01,5.45223440e-01,3.71760911e+01,3.86768769e+01,2.60787128e+01,7.02964094e-01,7.11985627e-01,3.70982146e+01,3.66281451e+01
242.3090,2.05738439e+01,5.57237468e-01,5.35395076e-01,3.69211424e+01,3.84274060e+01,2.54396342e+01,6.90835957e-01,6.99105506e-01,3.68244211e+01,3.63888340e+01
248.3962,2.00717723e+01,5.47217263e-01,5.25810547e-01,3.66797133e+01,3.81730120e+01,2.48162152e+01,6.78781798e-01,6.86311994e-01,3.65599302e+01,3.61587957e+01
254.6363,1.95811936e+01,5.37185907e-01,5.16121152e-01,3.64514284e+01,3.79391419e+01,2.42080722e+01,6.66796742e-01,6.74033370e-01,3.63050247e+01,3.59152429e+01
261.0332,1.91019659e+01,5.27155265e-01,5.06489852e-01,3.62359389e+01,3.77144100e+01,2.36148312e+01,6.54884814e-01,6.61474164e-01,3.60595187e+01,3.57003077e+01
267.5908,1.86339375e+01,5.17136465e-01,4.96917994e-01,3.60329211e+01,3.74990193e+01,2.30361274e+01,6.43047722e-01,6.49004828e-01,3.58233558e+01,3.54945393e+01
274.3131,1.81769470e+01,5.07139908e-01,4.87406830e-01,3.58420758e+01,3.72931725e+01,2.24716048e+01,6.31291630e-01,6.37041555e-01,3.55962343e+01,3.52749433e+01
281.2043,1.77308249e+01,4.97175825e-01,4.77957519e-01,3.56630874e+01,3.70970729e+01,2.19209161e+01,6.19611494e-01,6.24809209e-01,3.53784853e+01,3.50841758e+01
288.2686,1.72953934e+01,4.87252318e-01,4.68753485e-01,3.54957643e+01,3.68965650e+01,2.13837227e+01,6.08012821e-01,6.12669543e-01,3.51698549e+01,3.49025391e+01
295.5104,1.68704679e+01,4.77378099e-01,4.59463192e-01,3.53398448e+01,3.67177789e+01,2.08596939e+01,5.96502075e-01,6.01034027e-01,3.49700274e+01,3.47063444e+01
302.9342,1.64558572e+01,4.67560834e-01,4.50241924e-01,3.51951148e+01,3.65489227e+01,2.03485072e+01,5.85074718e-01,5.89134085e-01,3.47793310e+01,3.45396876e+01
310.5444,1.60513648e+01,4.57807560e-01,4.41090811e-01,3.50613799e+01,3.63901591e+01,1.98498480e+01,5.73736339e-01,5.77329273e-01,3.45975088e+01,3.43821956e+01
318.3458,1.56567893e+01,4.48124711e-01,4.32010906e-01,3.49384644e+01,3.62416528e+01,1.93634092e+01,5.62493515e-01,5.66032005e-01,3.44242355e+01,3.42090360e+01
326.3431,1.52719254e+01,4.38518147e-01,4.23003184e-01,3.48262106e+01,3.61035707e+01,1.88888914e+01,5.51341576e-01,5.54469593e-01,3.42598713e+01,3.40665956e+01
334.5414,1.48965647e+01,4.28993184e-01,4.14256395e-01,3.47244788e+01,3.59597702e+01,1.84260024e+01,5.40286061e-01,5.43004475e-01,3.41041602e+01,3.39334263e+01
342.9457,1.45304967e+01,4.19555666e-01,4.05426305e-01,3.46330604e+01,3.58400443e+01,1.79744570e+01,5.29333585e-01,5.32054427e-01,3.39567666e+01,3.37831171e+01
351.5610,1.41735092e+01,4.10208187e-01,3.96674505e-01,3.45519900e+01,3.57308297e+01,1.75339774e+01,5.18478871e-01,5.20834269e-01,3.38181137e+01,3.36651761e+01
360.3928,1.38253891e+01,4.00955408e-01,3.88001917e-01,3.44811140e+01,3.56322702e+01,1.71042922e+01,5.07727377e-01,5.10093381e-01,3.36879455e+01,3.35316883e+01
369.4465,1.34859237e+01,3.91800806e-01,3.79409401e-01,3.44203571e+01,3.55445164e+01,1.66851370e+01,4.97085774e-01,4.99118246e-01,3.35659113e+01,3.34292267e+01
378.7276,1.31549005e+01,3.82747471e-01,3.71074793e-01,3.43696601e+01,3.54508059e+01,1.62762536e+01,4.86547812e-01,4.88244706e-01,3.34525266e+01,3.33362624e+01
388.2419,1.28321086e+01,3.73798142e-01,3.62672071e-01,3.43289791e+01,3.53821253e+01,1.58773905e+01,4.76122999e-01,4.77864740e-01,3.33472453e+01,3.32256999e+01
397.9952,1.25173392e+01,3.64956483e-01,3.54354622e-01,3.42981693e+01,3.53243290e+01,1.54883019e+01,4.65805899e-01,4.67238700e-01,3.32505491e+01,3.31485854e+01
407.9935,1.22103859e+01,3.56222516e-01,3.46123240e-01,3.42774120e+01,3.52775674e+01,1.51087485e+01,4.55604904e-01,4.57080779e-01,3.31619533e+01,3.30548761e+01
418.2429,1.19110455e+01,3.47599049e-01,3.37978665e-01,3.42666227e+01,3.52420040e+01,1.47384967e+01,4.45515067e-01,4.46702621e-01,3.30819264e+01,3.29939785e+01
428.7499,1.16191182e+01,3.39087713e-01,3.30097508e-01,3.42658190e+01,3.51990486e+01,1.43773184e+01,4.35540557e-01,4.36772391e-01,3.30102861e+01,3.29171868e+01
439.5208,1.13344086e+01,3.30689926e-01,3.22153910e-01,3.42750345e+01,3.51832099e+01,1.40249914e+01,4.25686840e-01,4.26642674e-01,3.29467347e+01,3.28729220e+01
450.5623,1.10567256e+01,3.22408198e-01,3.14301560e-01,3.42941826e+01,3.51787169e+01,1.36812987e+01,4.15947497e-01,4.16944826e-01,3.28918886e+01,3.28132114e+01
461.8812,1.07858828e+01,3.14241407e-01,3.06541125e-01,3.43235570e+01,3.51857612e+01,1.33460288e+01,4.06330911e-01,4.07064226e-01,3.28452216e+01,3.27860519e+01
473.4844,1.05216992e+01,3.06191448e-01,2.98873238e-01,3.43631387e+01,3.52045544e+01,1.30189753e+01,3.96830884e-01,3.97602710e-01,3.28073640e+01,3.27436783e+01
485.3791,1.02639988e+01,2.98259111e-01,2.91479712e-01,3.44130270e+01,3.52134245e+01,1.26999367e+01,3.87455253e-01,3.87971977e-01,3.27778151e+01,3.27341597e+01
497.5727,1.00126115e+01,2.90445068e-01,2.84022717e-01,3.44733397e+01,3.52528544e+01,1.23887166e+01,3.78197894e-01,3.78750162e-01,3.27572332e+01,3.27094687e+01
510.0725,9.76737267e+00,2.82751361e-01,2.76662037e-01,3.45440341e+01,3.53043474e+01,1.20851235e+01,3.69066269e-01,3.69370092e-01,3.27451316e+01,3.27181972e+01
522.8864,9.52812352e+00,2.75175966e-01,2.69398227e-01,3.46255658e+01,3.53681745e+01,1.17889707e+01,3.60057231e-01,3.60390880e-01,3.27419356e+01,3.27116232e+01
536.0222,9.29471115e+00,2.67720434e-01,2.62401342e-01,3.47179743e+01,3.54217363e+01,1.15000759e+01,3.51168961e-01,3.51262300e-01,3.27479850e+01,3.27392831e+01
549.4879,9.06698847e+00,2.60385122e-01,2.55354224e-01,3.48214537e+01,3.55074936e+01,1.12182617e+01,3.42407278e-01,3.42528209e-01,3.27629184e+01,3.27513513e+01
563.2920,8.84481423e+00,2.53171736e-01,2.48407170e-01,3.49360255e+01,3.56061149e+01,1.09433552e+01,3.33767123e-01,3.33651959e-01,3.27873972e+01,3.27987141e+01
577.4428,8.62805289e+00,2.46078113e-01,2.41560652e-01,3.50622523e+01,3.57179566e+01,1.06751880e+01,3.25254318e-01,3.25165197e-01,3.28210493e+01,3.28300449e+01
591.9492,8.41657452e+00,2.39105555e-01,2.34978378e-01,3.52002467e+01,3.58185064e+01,5.23775767e+00,3.16866153e-01,3.16542126e-01,1.65298743e+01,1.65467950e+01
606.8199,8.21025468e+00,2.32254240e-01,2.28353672e-01,3.53502898e+01,3.59541173e+01,5.11322777e+00,3.08600701e-01,3.08304632e-01,1.65690737e+01,1.65849853e+01
622.0642,8.00897420e+00,2.25525755e-01,2.21832148e-01,3.55124594e+01,3.61037581e+01,4.99206010e+00,3.00462934e-01,2.99935585e-01,1.66145622e+01,1.66437740e+01
637.6915,7.81261897e+00,2.18917703e-01,2.15558070e-01,3.56874701e+01,3.62436858e+01,4.87418441e+00,2.92448076e-01,2.91949072e-01,1.66668370e+01,1.66953242e+01
653.7114,7.62107974e+00,2.12431294e-01,2.09260737e-01,3.58755040e+01,3.64190619e+01,4.75953157e+00,2.84561342e-01,2.84077024e-01,1.67258544e+01,1.67543700e+01
670.1337,7.43425185e+00,2.06066577e-01,2.03068760e-01,3.60769416e+01,3.66095300e+01,4.64803351e+00,2.76797580e-01,2.76100865e-01,1.67921754e+01,1.68345489e+01
686.9686,7.25203497e+00,1.99825144e-01,1.97112511e-01,3.62919041e+01,3.67913480e+01,4.53962309e+00,2.69159182e-01,2.68482727e-01,1.68659418e+01,1.69084363e+01
704.2264,7.07433281e+00,1.93704229e-01,1.91146748e-01,3.65213131e+01,3.70099564e+01,4.43423408e+00,2.61646153e-01,2.60762151e-01,1.69474461e+01,1.70048992e+01
721.9178,6.90105284e+00,1.87705026e-01,1.85288032e-01,3.67654132e+01,3.72450004e+01,4.33180105e+00,2.54262153e-01,2.53399069e-01,1.70367512e+01,1.70947788e+01
740.0535,6.73210600e+00,1.81828877e-01,1.79536532e-01,3.70244050e+01,3.74971374e+01,4.23225930e+00,2.47000587e-01,2.46154967e-01,1.71346123e+01,1.71934751e+01
758.6449,6.56740640e+00,1.76073164e-01,1.74025617e-01,3.72993036e+01,3.77381589e+01,4.13554488e+00,2.39864444e-01,2.38827808e-01,1.72411751e+01,1.73160107e+01
777.7033,6.40687105e+00,1.70438850e-01,1.68502781e-01,3.75904382e+01,3.80223462e+01,4.04159448e+00,2.32855512e-01,2.31840621e-01,1.73566622e+01,1.74326417e+01
797.2405,6.25041956e+00,1.64927078e-01,1.63088201e-01,3.78980798e+01,3.83253941e+01,3.95034545e+00,2.25970445e-01,2.24974682e-01,1.74816908e+01,1.75590667e+01
817.2686,6.09797386e+00,1.59535215e-01,1.57906600e-01,3.82233718e+01,3.86175996e+01,3.86173574e+00,2.19210711e-01,2.18231157e-01,1.76165468e+01,1.76956206e+01
837.7997,5.94945796e+00,1.54264027e-01,1.52720913e-01,3.85667228e+01,3.89564065e+01,3.77570393e+00,2.12584135e-01,2.11433020e-01,1.77609864e+01,1.78576834e+01
