chi2,m_chi_GeV,m_phi_GeV,alpha,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1000,sigma_m_1100,sigma_m_1200,sigma_m_4700
6.162429,28.117687,0.0177226099,7.076051e-03,7.767489e-01,7.810236e-01,7.694934e-01,7.547475e-01,7.464262e-01,7.376485e-01,8.056679e-01,8.116000e-01,4.034285e-01,3.679841e-01,3.371263e-01,5.029360e-02
8.382408,42.919343,0.0058900304,1.061309e-03,3.413354e+00,3.027872e+00,3.148310e+00,3.270320e+00,3.300634e+00,3.308444e+00,1.328161e+00,1.160868e+00,1.568008e-01,1.312509e-01,1.113881e-01,7.257200e-03
7.904043,24.420531,0.0246632736,1.252477e-02,4.669961e-01,5.007937e-01,4.988940e-01,4.952647e-01,4.930455e-01,4.906006e-01,4.597189e-01,4.781793e-01,3.894735e-01,3.634757e-01,3.398868e-01,7.554926e-02
6.392229,86.851137,0.0065759507,4.724359e-04,1.040514e+00,1.042197e+00,1.014614e+00,9.422258e-01,8.995247e-01,8.558429e-01,1.669782e-01,1.388466e-01,1.298164e-02,1.072527e-02,9.000576e-03,5.517831e-04
65.256043,56.898660,0.0010107909,3.025056e-05,9.653030e+00,3.069934e+00,1.896665e+00,1.274434e+00,1.070203e+00,9.105765e-01,5.496247e-02,4.370476e-02,3.196320e-03,2.635044e-03,2.206882e-03,1.397737e-04
896.248197,100.000000,0.0005827150,3.568701e-05,3.585686e+01,8.377764e+00,4.935771e+00,3.226772e+00,2.683084e+00,2.265120e+00,1.254384e-01,9.937207e-02,7.431020e-03,6.125970e-03,5.144941e-03,1.702686e-04
1.510531,75.431201,0.0102169815,3.142097e-03,1.285855e+00,1.359888e+00,1.569223e+00,1.675172e+00,1.692103e+00,1.690998e+00,7.494563e-01,6.868199e-01,1.841973e-01,1.611442e-01,1.419307e-01,1.211723e-02
1481.054701,86.851137,0.0002695064,1.458862e-05,4.598783e+01,8.185149e+00,4.617514e+00,2.937501e+00,2.425004e+00,2.030058e+00,1.089183e-01,8.644825e-02,6.301310e-03,4.970840e-03,3.990469e-03,7.034358e-05
12.380712,86.851137,0.0021854879,4.039042e-05,1.568552e+00,6.485864e-01,4.239241e-01,2.942100e-01,2.498287e-01,2.144759e-01,1.385546e-02,1.102874e-02,8.150483e-04,6.689237e-04,5.594122e-04,3.499884e-05
6.170639,10.481131,0.0127351667,1.920203e-03,2.686000e-01,5.416879e-01,5.925056e-01,6.179557e-01,6.255262e-01,6.308687e-01,5.292617e-01,5.088574e-01,2.417828e-01,2.177969e-01,1.965425e-01,2.082384e-02
6.149635,21.209509,0.0102169815,8.756624e-04,5.066903e-01,5.840384e-01,5.797171e-01,5.678524e-01,5.603371e-01,5.521548e-01,3.383859e-01,3.151343e-01,6.488077e-02,5.508764e-02,4.728841e-02,3.452851e-03
11.140301,56.898660,0.0037909973,3.492660e-04,4.047197e+00,3.917727e+00,3.651421e+00,3.273697e+00,3.079440e+00,2.891027e+00,4.563180e-01,3.745911e-01,3.261404e-02,2.687005e-02,2.257144e-02,1.372100e-03
12.288991,86.851137,0.0030413853,5.852806e-05,1.001983e+00,5.395109e-01,3.816207e-01,2.782843e-01,2.405615e-01,2.095649e-01,1.497544e-02,1.196711e-02,8.976474e-04,7.396693e-04,6.179646e-04,3.813400e-05
19.636779,100.000000,0.0005827150,1.017275e-05,3.970711e+00,7.333934e-01,4.177292e-01,2.684979e-01,2.216159e-01,1.862616e-01,1.004115e-02,7.980569e-03,6.004483e-04,4.951921e-04,4.156033e-04,1.383553e-05
10.959618,32.374575,0.0027241463,1.226454e-04,3.755634e+00,2.711075e+00,2.338706e+00,2.009711e+00,1.859563e+00,1.719653e+00,2.060261e-01,1.668557e-01,1.372620e-02,1.131292e-02,9.477365e-03,5.768575e-04
4.361087,78.475997,0.0086569070,3.802734e-03,2.028445e+00,2.741994e+00,2.985977e+00,2.961505e+00,2.893385e+00,2.806158e+00,1.172257e+00,1.084495e+00,3.203746e-01,2.832617e-01,2.519319e-01,2.362389e-02
5.751944,21.209509,0.0073417495,4.595836e-04,7.007105e-01,7.512100e-01,7.279710e-01,6.962552e-01,6.792163e-01,6.620939e-01,3.044896e-01,2.708534e-01,3.796324e-02,3.180213e-02,2.700687e-02,1.829527e-03
9.392824,65.512856,0.0033955682,1.063699e-04,1.588105e+00,1.115969e+00,8.950543e-01,7.136952e-01,6.387203e-01,5.731214e-01,5.150914e-02,4.139942e-02,3.235882e-03,2.663726e-03,2.223023e-03,1.358635e-04
3.271566,18.420700,0.0058900304,6.380954e-04,2.187032e+00,2.222467e+00,2.134860e+00,2.032966e+00,1.982355e+00,1.933879e+00,9.990182e-01,8.936373e-01,1.302116e-01,1.092020e-01,9.282276e-02,6.290016e-03
8.180858,42.919343,0.0058900304,2.613809e-04,9.083505e-01,7.489275e-01,6.827627e-01,6.328421e-01,6.102968e-01,5.883251e-01,1.308384e-01,1.085185e-01,1.007654e-02,8.336729e-03,7.012873e-03,4.335462e-04
9.299828,49.417134,0.0081967290,2.887316e-03,2.663874e+00,2.428673e+00,2.687132e+00,2.961662e+00,3.061260e+00,3.131807e+00,1.676564e+00,1.527541e+00,3.848463e-01,3.351319e-01,2.939877e-01,2.439645e-02
