bp,m_chi_GeV,m_phi_MeV,alpha,lambda,kappa,v_km_s,sigma_maj,sigma_dir,R,n_resonances,res_even,res_odd,dominant_l,n_partialwaves
BP1,54.556,12.975,0.002645,11.12143506743738,6.998921120732892,998.0370029170341,0.12047683143155608,0.05996743517855278,2.0090375896990897,0,0,0,2,38
BP1,54.556,12.975,0.002645,11.12143506743738,7.979975899181308,1137.934131901617,0.09894309899754136,0.049352516897388655,2.004823770249834,1,1,0,2,39
BP1,54.556,12.975,0.002645,11.12143506743738,9.098547369376012,1297.440961369174,0.08049146775033263,0.04021729538006192,2.001414242048633,1,1,0,2,41
BP1,54.556,12.975,0.002645,11.12143506743738,10.373911560468782,1479.306227879371,0.06489986898694214,0.03246798848974735,1.9988878894495123,1,1,0,2,42
BP1,54.556,12.975,0.002645,11.12143506743738,11.828046466697504,1686.6639646811807,0.051894393230539126,0.025987210426863628,1.9969204996660432,1,1,0,2,43
BP1,54.556,12.975,0.002645,11.12143506743738,13.486010788011129,1923.0875096309128,0.04119883969776447,0.02064364831853553,1.9957150529818337,0,0,0,3,45
BP1,54.556,12.975,0.002645,11.12143506743738,15.376375759634037,2192.6510835236145,0.03249479548871243,0.016287749278301213,1.9950451675973728,0,0,0,3,47
BP1,54.556,12.975,0.002645,11.12143506743738,17.531717512167994,2499.9999999999995,0.02548034846055399,0.012773544270650524,1.9947751321533833,0,0,0,3,49
BP9,48.329,8.657,0.00235,13.119227214970545,0.1396628666700199,15.000000000000004,2.0225320762352914,2.0223351524203834,1.0000973744706323,0,0,0,0,7
BP9,48.329,8.657,0.00235,13.119227214970545,0.15923973006865744,17.10258430161952,1.9864835372275351,1.985532546944522,1.0004789598057593,0,0,0,0,8
BP9,48.329,8.657,0.00235,13.119227214970545,0.18156072717775656,19.49989265293348,1.9440383856972028,1.9403434110398403,1.001904289022417,0,0,0,0,10
BP9,48.329,8.657,0.00235,13.119227214970545,0.20701050949472818,22.233237197955056,1.898509272031986,1.8867037461626939,1.0062572228911417,0,0,0,0,11
BP9,48.329,8.657,0.00235,13.119227214970545,0.2360276459969864,25.34972089839528,1.857611169418391,1.826019383864867,1.0173009037213276,0,0,0,0,12
BP9,48.329,8.657,0.00235,13.119227214970545,0.26911218087841765,28.903049245822068,1.83321155452051,1.7612244175477896,1.0408733471189042,0,0,0,0,14
BP9,48.329,8.657,0.00235,13.119227214970545,0.3068342506710545,32.95445575336882,1.8377484072344097,1.6957998800981713,1.0837059424299647,0,0,0,0,16
BP9,48.329,8.657,0.00235,13.119227214970545,0.34984390924839764,37.573757175732034,1.8783443061511393,1.6321090722614882,1.1508693494047317,0,0,0,0,18
BP9,48.329,8.657,0.00235,13.119227214970545,0.3988823300219232,42.84055664176922,1.952325485578116,1.5702732972214652,1.2433029900162453,0,0,0,0,20
BP9,48.329,8.657,0.00235,13.119227214970545,0.4547945783750902,48.84561543294423,2.047227235731322,1.5085190388652667,1.3571106383060836,0,0,0,0,23
BP9,48.329,8.657,0.00235,13.119227214970545,0.5185441744386323,55.692417047094395,2.144866121747618,1.4446321954182437,1.4847143297444272,0,0,0,0,26
BP9,48.329,8.657,0.00235,13.119227214970545,0.5912296971633599,63.49895050059221,2.2266185691103404,1.3773022011451475,1.6166521532159284,0,0,0,0,30
BP9,48.329,8.657,0.00235,13.119227214970545,0.6741037158238228,72.39974360004953,2.277517520482031,1.3065155505340251,1.7431997036323972,0,0,0,0,34
BP9,48.329,8.657,0.00235,13.119227214970545,0.7685943751941262,82.54818122236567,2.2884449165315797,1.233115314711302,1.855823935709818,1,1,0,0,34
