bp,m_chi_GeV,m_phi_MeV,alpha,lambda,v_km_s,sigma_m_maj,sigma_m_dir,R_v,kappa,regime
BP1,54.556,12.975,0.002645,11.12143506743738,325,0.44010945658148937,0.21238049952588842,2.0722686760977393,2.27912327658184,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,350,0.4118778857593834,0.1992153794670167,2.0675004453036037,2.4544404517035194,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,375,0.38634432400687757,0.1872961154309626,2.062746059190342,2.6297576268252003,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,400,0.36317887164224333,0.17645447508847775,2.05820153589269,2.8050748019468794,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,425,0.34208828755472825,0.1665521252137093,2.0539412938488892,2.9803919770685594,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,450,0.32282231782203047,0.1574741415262163,2.050002080933948,3.1557091521902394,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,475,0.3051631112932707,0.14912415561323497,2.046369416399143,3.3310263273119194,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,500,0.2889263487373569,0.14142048633792118,2.043030371476546,3.5063435024336,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,550,0.2601120922013028,0.12768509821008184,2.0371374251781305,3.85697785267696,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,600,0.23536020622076292,0.11582034914044322,2.032114459742875,4.20761220292032,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,650,0.21390901811502086,0.1054889344436847,2.0277863194192776,4.55824655316368,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,700,0.19517806497605308,0.09643078111376252,2.024022440985884,4.908880903407039,few-ℓ
BP1,54.556,12.975,0.002645,11.12143506743738,750,0.17871669567053425,0.0884424203766139,2.0207124014642055,5.259515253650401,semi-class
BP1,54.556,12.975,0.002645,11.12143506743738,800,0.16416894956713826,0.08136092414727651,2.0177861951268614,5.610149603893759,semi-class
BP1,54.556,12.975,0.002645,11.12143506743738,850,0.1512492782261298,0.07505446003731465,2.015193742662775,5.960783954137119,semi-class
BP1,54.556,12.975,0.002645,11.12143506743738,900,0.13972441931175356,0.06941575002638929,2.0128633524615887,6.311418304380479,semi-class
BP1,54.556,12.975,0.002645,11.12143506743738,950,0.1294052367312216,0.0643547291824333,2.0108116120632347,6.662052654623839,semi-class
BP1,54.556,12.975,0.002645,11.12143506743738,1000,0.12013123966486201,0.05979771679551851,2.008960309900413,7.0126870048672,semi-class
BP1,54.556,12.975,0.002645,11.12143506743738,1050,0.11176915601577696,0.05568104588512304,2.0073106429496796,7.363321355110559,semi-class
BP9,48.329,8.657,0.00235,13.119227214970545,5,2.1319704533921753,2.131970453392175,1.0000000000000002,0.046554288890006616,s-wave
BP9,48.329,8.657,0.00235,13.119227214970545,10,2.094153289093593,2.094153010222055,1.000000133166744,0.09310857778001323,s-wave
BP9,48.329,8.657,0.00235,13.119227214970545,15,2.022532076235292,2.022335152420383,1.0000973744706327,0.13966286667001987,s-wave
BP9,48.329,8.657,0.00235,13.119227214970545,20,1.935318627705433,1.9306267097563934,1.00243025641639,0.18621715556002646,s-wave
BP9,48.329,8.657,0.00235,13.119227214970545,25,1.8613914076575977,1.83270144286533,1.0156544672914167,0.2327714444500331,s-wave
BP9,48.329,8.657,0.00235,13.119227214970545,30,1.8310974159445836,1.7425722623690578,1.0508014247025683,0.27932573334003974,s-wave
BP9,48.329,8.657,0.00235,13.119227214970545,35,1.851816661726597,1.6662822749364243,1.1113463124351195,0.32588002223004636,s-wave
BP9,48.329,8.657,0.00235,13.119227214970545,40,1.910039459260268,1.6024602927932516,1.1919418333485658,0.37243431112005293,s-wave
BP9,48.329,8.657,0.00235,13.119227214970545,45,1.9863592335908595,1.5472394339904267,1.283808562497606,0.41898860001005955,s-wave
BP9,48.329,8.657,0.00235,13.119227214970545,50,2.064970688470376,1.4973538058548634,1.3790800012635964,0.4655428889000662,s-wave
BP9,48.329,8.657,0.00235,13.119227214970545,60,2.194323344031965,1.406843987123902,1.559748887663056,0.5586514666800795,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,70,2.268001993853212,1.3249962578130547,1.711704452355674,0.6517600444600927,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,80,2.2897171217163885,1.2508398978800312,1.8305437215402898,0.7448686222401059,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,90,2.2722204570058704,1.1838476023505886,1.91935216365203,0.8379772000201191,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,100,2.2281322949208535,1.1232784006829206,1.9835975601117353,0.9310857778001324,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,110,2.1674397197863353,1.06832503943832,2.0288204804465533,1.0241943555801458,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,120,2.0973403151856163,1.0182421249090223,2.0597658099963296,1.117302933360159,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,130,2.022760673173803,0.9723878651020457,2.0801994201784155,1.210411511140172,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,140,1.9469547178798783,0.9302230231067328,2.0929977752834943,1.3035200889201854,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,150,1.8720025731227061,0.8912966418500822,2.1003137285886697,1.3966286667001986,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,160,1.7991823220620455,0.8552301426833039,2.1037405398470526,1.4897372444802117,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,170,1.729234265318643,0.8217038111927459,2.104449610387676,1.582845822260225,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,180,1.6625404332506046,0.7904454908825567,2.1032954864405986,1.6759544000402382,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,190,1.599251733513547,0.7612222267424076,2.1008999439722387,1.7690629778202516,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,200,1.5393703213747603,0.7338328796491275,2.0977123866551057,1.8621715556002647,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,225,1.4038623197005395,0.6722931693250289,2.088169839818533,2.0949430000502978,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,250,1.2865231586515542,0.619004639437427,2.0783740164222215,2.327714444500331,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,275,1.1844954379721842,0.5723720022600115,2.069450345745778,2.560485888950364,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,300,1.0951870331709384,0.5311997861429656,2.0617234075395183,2.793257333400397,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,325,1.016426203771049,0.4945717326517068,2.055164370841325,3.0260287778504305,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,350,0.9464684872008702,0.46177232504460675,2.04964315934144,3.2588002223004637,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,375,0.883909015012352,0.43223420977349614,2.044976994013378,3.4915716667504966,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,400,0.827624276234783,0.4054988368792401,2.041002836418133,3.7243431112005294,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,425,0.7767181877351904,0.38119366686241646,2.0375946802272815,3.9571145556505622,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,450,0.7304513004775882,0.35901096605303445,2.034621138479885,4.1898860001005955,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,475,0.688231528391381,0.3386942917287336,2.0320139583060883,4.422657444550629,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,500,0.6495576669547385,0.32002797199125466,2.0296902889866417,4.655428889000662,few-ℓ
BP9,48.329,8.657,0.00235,13.119227214970545,550,0.5812522318450517,0.28694221478178156,2.025676954808102,5.120971777900728,semi-class
BP9,48.329,8.657,0.00235,13.119227214970545,600,0.5229271034676305,0.25858042012567506,2.022299690028649,5.586514666800794,semi-class
BP9,48.329,8.657,0.00235,13.119227214970545,650,0.47266767218241174,0.23406615952109977,2.0193763726866436,6.052057555700861,semi-class
BP9,48.329,8.657,0.00235,13.119227214970545,700,0.42902915658251034,0.21272825959713515,2.0167943713496546,6.5176004446009275,semi-class
BP9,48.329,8.657,0.00235,13.119227214970545,750,0.3908937868373292,0.19403868954633138,2.014514671023863,6.983143333500993,semi-class
BP9,48.329,8.657,0.00235,13.119227214970545,800,0.35737903673744054,0.17758339786793598,2.0124574764765666,7.448686222401059,semi-class
BP9,48.329,8.657,0.00235,13.119227214970545,850,0.32777798409495956,0.16302360807764643,2.010616670555116,7.9142291113011245,semi-class
BP9,48.329,8.657,0.00235,13.119227214970545,900,0.30152697998959443,0.15008914778172766,2.0089858890271035,8.379772000201191,semi-class
BP9,48.329,8.657,0.00235,13.119227214970545,950,0.278138712288394,0.1385486996448823,2.00751586266272,8.845314889101259,semi-class
BP9,48.329,8.657,0.00235,13.119227214970545,1000,0.25723293792959673,0.12822133251528842,2.006163349604292,9.310857778001324,semi-class
BP9,48.329,8.657,0.00235,13.119227214970545,1050,0.2384732265013232,0.11894058701502024,2.004977716069351,9.77640066690139,semi-class
BP16,14.384,5.047,0.0007555,2.1531824846443435,5,2.8804045812218604,2.8804045812218604,1.0,0.023766524397316326,s-wave
BP16,14.384,5.047,0.0007555,2.1531824846443435,10,3.9781708533512425,3.978170853351241,1.0000000000000004,0.04753304879463265,s-wave
BP16,14.384,5.047,0.0007555,2.1531824846443435,15,4.248471407533622,4.248471407374153,1.0000000000375355,0.07129957319194898,s-wave
BP16,14.384,5.047,0.0007555,2.1531824846443435,20,4.314667286450678,4.314667174519838,1.0000000259419408,0.0950660975892653,s-wave
BP16,14.384,5.047,0.0007555,2.1531824846443435,25,4.308108137057749,4.308102750113752,1.0000012504214288,0.11883262198658164,s-wave
BP16,14.384,5.047,0.0007555,2.1531824846443435,30,4.266481157751713,4.266412308447277,1.0000161375177685,0.14259914638389795,s-wave
BP16,14.384,5.047,0.0007555,2.1531824846443435,35,4.204237306485618,4.2038221136130245,1.0000987655665183,0.16636567078121428,s-wave
BP16,14.384,5.047,0.0007555,2.1531824846443435,40,4.128825032805547,4.127254471676227,1.0003805341153782,0.1901321951785306,s-wave
BP16,14.384,5.047,0.0007555,2.1531824846443435,45,4.045317847245553,4.040958191764198,1.001078866762403,0.2138987195758469,s-wave
BP16,14.384,5.047,0.0007555,2.1531824846443435,50,3.957767166775414,3.948016005150818,1.0024698890814714,0.23766524397316327,s-wave
BP16,14.384,5.047,0.0007555,2.1531824846443435,60,3.7831066799559907,3.751399847264279,1.0084520003152515,0.2851982927677959,s-wave
BP16,14.384,5.047,0.0007555,2.1531824846443435,70,3.622700613513881,3.5513746630834118,1.0200840398992266,0.33273134156242856,s-wave
BP16,14.384,5.047,0.0007555,2.1531824846443435,80,3.4836939428738045,3.35614644662916,1.0380041509728368,0.3802643903570612,s-wave
BP16,14.384,5.047,0.0007555,2.1531824846443435,90,3.36578046198169,3.169908328659277,1.0617911034055858,0.4277974391516938,s-wave
BP16,14.384,5.047,0.0007555,2.1531824846443435,100,3.2649859024780543,2.9943931035817832,1.0903664914845677,0.47533048794632654,s-wave
