chi2,chi2_dof,m_chi_GeV,m_phi_MeV,alpha,lambda,is_relic,omega_h2,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1000,sigma_m_1100,sigma_m_1200,sigma_m_4700
3.5509,0.3551,37.275937,12.735167,2.666899e-03,7.8060,0,,8.841222e-01,8.460710e-01,8.108250e-01,7.779936e-01,7.655785e-01,7.567855e-01,7.187485e-01,6.733179e-01,1.683533e-01,1.456720e-01,1.252677e-01,1.015654e-02
3.5528,0.3553,12.067926,9.151275,9.669005e-04,1.2751,0,,5.073554e-01,7.701992e-01,8.006403e-01,8.097688e-01,8.100886e-01,8.085302e-01,5.491842e-01,5.196642e-01,1.498957e-01,1.291409e-01,1.120063e-01,8.428393e-03
3.5530,0.3553,49.417134,9.151275,1.245052e-03,6.7233,0,,1.133062e+00,9.973934e-01,9.688385e-01,9.815322e-01,9.935706e-01,1.005354e+00,5.445054e-01,4.800063e-01,6.863215e-02,5.634525e-02,4.846688e-02,3.263356e-03
3.5669,0.3567,18.420700,4.725367,3.121746e-04,1.2169,0,,1.819992e+00,1.796532e+00,1.687171e+00,1.572084e+00,1.517606e+00,1.466307e+00,5.146856e-01,4.414342e-01,4.768072e-02,3.935045e-02,3.261481e-02,2.081656e-03
3.5685,0.3569,42.919343,12.735167,3.578220e-03,12.0591,0,,1.044605e+00,9.712516e-01,9.232670e-01,9.001790e-01,9.015860e-01,9.106102e-01,8.932072e-01,8.257878e-01,2.189039e-01,1.975196e-01,1.717970e-01,1.566372e-02
3.5797,0.3580,37.275937,11.406795,1.845160e-03,6.0297,0,,8.975136e-01,8.534813e-01,8.138877e-01,7.796406e-01,7.673743e-01,7.588382e-01,6.215476e-01,5.726480e-01,1.160860e-01,9.733588e-02,8.572579e-02,6.096776e-03
3.5836,0.3584,18.420700,4.725367,3.437779e-04,1.3401,0,,2.080719e+00,2.044562e+00,1.921288e+00,1.793204e+00,1.733102e+00,1.676812e+00,6.126929e-01,5.268019e-01,5.771844e-02,4.764967e-02,3.950266e-02,2.524371e-03
3.5870,0.3587,86.851137,6.575951,7.962607e-04,10.5165,0,,1.527085e+00,1.778968e+00,1.764207e+00,1.653207e+00,1.583246e+00,1.510418e+00,3.490650e-01,3.031397e-01,3.198180e-02,2.646608e-02,2.224707e-02,1.271932e-03
3.5895,0.3590,21.209509,5.890030,4.241082e-04,1.5272,0,,1.373563e+00,1.370041e+00,1.298892e+00,1.221789e+00,1.184875e+00,1.150047e+00,4.756382e-01,4.141898e-01,4.921516e-02,4.040222e-02,3.394753e-02,2.159480e-03
3.5904,0.3590,49.417134,12.735167,2.911199e-03,11.2965,0,,8.649099e-01,7.894078e-01,7.528395e-01,7.495986e-01,7.596073e-01,7.745917e-01,6.612410e-01,6.025709e-01,1.455988e-01,1.258093e-01,1.080187e-01,9.085519e-03
3.6091,0.3609,42.919343,7.341750,7.868830e-04,4.6001,0,,1.471965e+00,1.283120e+00,1.228157e+00,1.214756e+00,1.213502e+00,1.211965e+00,5.203120e-01,4.483515e-01,5.092573e-02,4.275409e-02,3.569458e-02,2.316372e-03
3.6101,0.3610,10.481131,5.890030,7.076822e-04,1.2593,0,,1.691916e+00,2.189654e+00,2.214150e+00,2.196347e+00,2.178664e+00,2.157001e+00,1.278565e+00,1.189218e+00,2.485364e-01,2.111527e-01,1.798739e-01,1.219547e-02
3.6103,0.3610,32.374575,12.735167,2.349885e-03,5.9737,0,,8.170495e-01,8.038361e-01,7.785894e-01,7.502194e-01,7.365587e-01,7.241045e-01,6.503362e-01,6.164262e-01,1.601726e-01,1.369633e-01,1.192607e-01,9.089543e-03
3.6125,0.3612,65.512856,15.874011,7.695861e-03,31.7612,0,,7.680687e-01,6.812462e-01,7.022087e-01,7.862031e-01,8.329249e-01,8.760780e-01,6.080887e-01,5.390857e-01,1.931402e-01,1.746509e-01,1.683159e-01,2.678584e-02
3.6152,0.3615,10.481131,10.216981,1.516736e-03,1.5560,0,,5.162106e-01,8.859367e-01,9.401450e-01,9.634414e-01,9.690278e-01,9.720062e-01,7.449759e-01,7.137448e-01,2.816190e-01,2.478912e-01,2.214888e-01,1.927740e-02
3.6167,0.3617,56.898660,14.218234,4.716289e-03,18.8737,0,,8.301120e-01,7.454200e-01,7.272624e-01,7.629801e-01,7.931067e-01,8.257853e-01,6.784723e-01,6.129718e-01,1.830560e-01,1.623203e-01,1.497993e-01,1.587439e-02
3.6192,0.3619,49.417134,8.196729,2.006455e-03,12.0967,0,,2.127585e+00,1.891859e+00,1.997783e+00,2.153222e+00,2.216505e+00,2.264198e+00,1.181107e+00,1.047709e+00,1.972214e-01,1.660729e-01,1.442563e-01,1.043579e-02
3.6208,0.3621,86.851137,9.151275,1.394925e-03,13.2387,0,,9.657161e-01,1.044045e+00,1.133621e+00,1.146901e+00,1.133385e+00,1.111280e+00,3.535285e-01,3.232370e-01,4.636005e-02,3.925822e-02,3.335911e-02,2.311501e-03
3.6268,0.3627,56.898660,7.341750,1.708214e-03,13.2387,0,,2.368581e+00,2.300789e+00,2.551195e+00,2.697319e+00,2.723102e+00,2.723243e+00,1.077800e+00,9.406412e-01,1.587296e-01,1.361226e-01,1.147527e-01,8.193719e-03
3.6288,0.3629,100.000000,7.341750,9.995471e-04,13.6146,0,,1.261512e+00,1.584592e+00,1.554600e+00,1.442938e+00,1.376391e+00,1.308601e+00,3.234849e-01,2.865785e-01,3.397162e-02,2.820651e-02,2.391902e-02,1.370845e-03
3.6298,0.3630,49.417134,12.735167,4.929628e-03,19.1288,0,,1.202415e+00,1.083777e+00,1.051031e+00,1.093807e+00,1.134535e+00,1.180354e+00,1.007944e+00,9.132682e-01,2.783404e-01,2.474669e-01,2.170022e-01,2.488949e-02
3.6313,0.3631,75.431201,14.218234,4.553081e-03,24.1552,0,,7.064022e-01,6.373223e-01,7.077907e-01,7.967904e-01,8.325836e-01,8.603950e-01,4.895879e-01,4.410973e-01,1.277328e-01,1.124913e-01,1.034556e-01,1.112690e-02
3.6326,0.3633,56.898660,11.406795,2.134704e-03,10.6482,0,,8.891884e-01,7.870392e-01,7.786017e-01,8.131302e-01,8.359568e-01,8.581080e-01,5.593690e-01,5.030880e-01,9.793121e-02,8.296920e-02,7.009623e-02,5.311669e-03
3.6337,0.3634,86.851137,5.890030,8.127472e-04,11.9843,0,,2.069859e+00,2.530435e+00,2.425175e+00,2.216745e+00,2.101201e+00,1.986415e+00,4.564526e-01,3.801494e-01,4.102080e-02,3.407997e-02,2.858572e-02,1.548121e-03
3.6450,0.3645,75.431201,12.735167,3.091911e-03,18.3136,0,,7.460245e-01,6.795836e-01,7.532944e-01,8.331174e-01,8.625097e-01,8.836459e-01,4.609525e-01,4.115367e-01,9.818707e-02,8.711588e-02,7.556923e-02,6.634833e-03
3.6532,0.3653,49.417134,6.575951,1.051757e-03,7.9038,0,,2.407871e+00,2.152610e+00,2.252844e+00,2.338386e+00,2.356028e+00,2.356707e+00,8.905533e-01,7.655800e-01,9.637634e-02,7.920148e-02,6.790331e-02,4.477669e-03
3.6552,0.3655,21.209509,6.575951,4.992113e-04,1.6101,0,,1.162866e+00,1.190407e+00,1.140870e+00,1.082575e+00,1.053376e+00,1.025185e+00,4.718435e-01,4.168207e-01,5.340612e-02,4.385794e-02,3.776363e-02,2.391907e-03
3.6591,0.3659,18.420700,10.216981,1.138281e-03,2.0523,0,,6.508862e-01,7.759362e-01,7.761429e-01,7.659353e-01,7.586424e-01,7.503557e-01,5.001965e-01,4.739781e-01,1.164201e-01,9.890665e-02,8.467967e-02,6.085262e-03
3.6607,0.3661,24.420531,12.735167,2.927359e-03,5.6134,0,,1.000279e+00,1.029713e+00,1.012491e+00,9.893589e-01,9.764201e-01,9.630070e-01,8.677206e-01,8.475545e-01,2.875617e-01,2.499139e-01,2.181565e-01,1.895507e-02
3.6684,0.3668,75.431201,10.216981,1.690238e-03,12.4789,0,,8.948121e-01,8.427416e-01,9.272277e-01,9.867139e-01,1.000785e+00,1.005581e+00,4.186922e-01,3.665018e-01,6.161495e-02,5.132033e-02,4.413556e-02,3.113795e-03
3.6725,0.3672,75.431201,5.890030,8.366516e-04,10.7147,0,,2.227888e+00,2.589038e+00,2.591584e+00,2.445488e+00,2.348700e+00,2.246366e+00,5.393382e-01,4.496499e-01,4.994172e-02,4.141174e-02,3.487072e-02,2.049253e-03
3.6736,0.3674,42.919343,11.406795,1.925385e-03,7.2445,0,,9.021026e-01,8.359986e-01,7.927794e-01,7.681626e-01,7.644341e-01,7.654569e-01,6.076743e-01,5.531259e-01,1.102291e-01,9.248614e-02,7.929144e-02,5.751375e-03
3.6738,0.3674,21.209509,9.151275,9.078035e-04,2.1040,0,,7.920026e-01,8.658480e-01,8.511719e-01,8.273590e-01,8.136683e-01,7.993958e-01,4.922431e-01,4.560136e-01,8.462474e-02,7.275268e-02,6.165329e-02,4.154631e-03
3.6774,0.3677,32.374575,12.735167,3.138253e-03,7.9779,0,,1.033281e+00,1.004359e+00,9.706651e-01,9.343337e-01,9.177784e-01,9.035987e-01,9.029856e-01,8.595170e-01,2.491668e-01,2.154409e-01,1.897240e-01,1.600521e-02
3.6783,0.3678,37.275937,10.216981,1.392801e-03,5.0815,0,,9.674577e-01,9.099817e-01,8.630347e-01,8.262580e-01,8.140677e-01,8.059084e-01,5.742020e-01,5.200900e-01,9.026424e-02,7.514163e-02,6.391080e-02,4.363839e-03
