v_km_s,BP1_S0,BP1_sigmaT_Maj,BP1_sigmaT_Dir,BP1_Phi_Maj,BP1_Phi_Dir,MAP_S0,MAP_sigmaT_Maj,MAP_sigmaT_Dir,MAP_Phi_Maj,MAP_Phi_Dir
1073.7282,2.11142136e+00,6.54743750e-02,7.10167960e-02,3.22480568e+01,2.97312958e+01,5.06272273e+00,2.44742199e-01,2.43440491e-01,2.06859411e+01,2.07965515e+01
1100.7020,2.07958781e+00,6.28252867e-02,6.79536926e-02,3.31011273e+01,3.06030141e+01,4.94292470e+00,2.38163222e-01,2.36709030e-01,2.07543577e+01,2.08818595e+01
1128.3535,2.04875719e+00,6.02652371e-02,6.50057668e-02,3.39956713e+01,3.15165452e+01,4.82638994e+00,2.31691824e-01,2.30290349e-01,2.08310757e+01,2.09578471e+01
1156.6996,2.01889410e+00,5.77921242e-02,6.22086751e-02,3.49337238e+01,3.24535782e+01,4.71304976e+00,2.25329026e-01,2.23971275e-01,2.09163011e+01,2.10430992e+01
1185.7578,1.98996455e+00,5.54045451e-02,5.94855692e-02,3.59169911e+01,3.34528959e+01,4.60283649e+00,2.19072237e-01,2.17752418e-01,2.10105879e+01,2.11379351e+01
1215.5460,1.96193587e+00,5.31007777e-02,5.68681190e-02,3.69474037e+01,3.44997497e+01,4.49568338e+00,2.12927058e-01,2.11634318e-01,2.11137252e+01,2.12426955e+01
1246.0826,1.93477666e+00,5.08790342e-02,5.43530866e-02,3.80269927e+01,3.55964451e+01,4.39152452e+00,2.06884332e-01,2.05435114e-01,2.12269555e+01,2.13766986e+01
1277.3863,1.90845677e+00,4.87378137e-02,5.19714566e-02,3.91576195e+01,3.67212484e+01,4.29029479e+00,2.00949802e-01,1.99527170e-01,2.13500822e+01,2.15023086e+01
1309.4763,1.88294718e+00,4.66746291e-02,4.96552356e-02,4.03419849e+01,3.79204159e+01,4.19192983e+00,1.95119389e-01,1.93720635e-01,2.14839225e+01,2.16390465e+01
1342.3726,1.85822004e+00,4.46878248e-02,4.74320900e-02,4.15822441e+01,3.91764318e+01,4.09636594e+00,1.89394419e-01,1.88015897e-01,2.16287574e+01,2.17873382e+01
1376.0952,1.83424852e+00,4.27754452e-02,4.53270479e-02,4.28808752e+01,4.04669752e+01,4.00354009e+00,1.83783275e-01,1.82413291e-01,2.17840285e+01,2.19476336e+01
1410.6650,1.81100687e+00,4.09357789e-02,4.32836966e-02,4.42401957e+01,4.18403929e+01,3.91338987e+00,1.78269372e-01,1.76913107e-01,2.19521157e+01,2.21204066e+01
1446.1033,1.78847029e+00,3.91663677e-02,4.13243931e-02,4.56634197e+01,4.32788035e+01,3.82585351e+00,1.72863384e-01,1.71515589e-01,2.21322377e+01,2.23061561e+01
1482.4318,1.76661493e+00,3.74654242e-02,3.94461733e-02,4.71532076e+01,4.47854577e+01,3.74086981e+00,1.67558329e-01,1.66220938e-01,2.23257765e+01,2.25054067e+01
1519.6730,1.74541784e+00,3.58309478e-02,3.76725003e-02,4.87125781e+01,4.63313512e+01,3.65837818e+00,1.62369599e-01,1.61029312e-01,2.25311771e+01,2.27187096e+01
1557.8497,1.72485696e+00,3.42609413e-02,3.59503642e-02,5.03447042e+01,4.79788452e+01,3.57831864e+00,1.57277492e-01,1.55940828e-01,2.27516257e+01,2.29466439e+01
1596.9855,1.70491102e+00,3.27534169e-02,3.43008990e-02,5.20529210e+01,4.97045580e+01,3.50063179e+00,1.52284466e-01,1.50955558e-01,2.29874515e+01,2.31898172e+01
1637.1044,1.68555959e+00,3.13064002e-02,3.27443826e-02,5.38407347e+01,5.14762978e+01,3.42525888e+00,1.47409609e-01,1.46073532e-01,2.32363338e+01,2.34488674e+01
1678.2312,1.66678296e+00,2.99181791e-02,3.12343499e-02,5.57113772e+01,5.33637795e+01,3.35214177e+00,1.42623197e-01,1.41294735e-01,2.35034822e+01,2.37244634e+01
1720.3912,1.64856218e+00,2.85863800e-02,2.97891216e-02,5.76694979e+01,5.53410806e+01,3.28122300e+00,1.37944673e-01,1.36619104e-01,2.37865148e+01,2.40173073e+01
1763.6103,1.63087899e+00,2.73092963e-02,2.84267018e-02,5.97188213e+01,5.73713757e+01,3.21244578e+00,1.33362144e-01,1.32046527e-01,2.40881383e+01,2.43281353e+01
1807.9151,1.61371580e+00,2.60850483e-02,2.71054813e-02,6.18636309e+01,5.95346669e+01,3.14575403e+00,1.28901610e-01,1.27576842e-01,2.44043036e+01,2.46577198e+01
1853.3330,1.59705568e+00,2.49117874e-02,2.58417901e-02,6.41084339e+01,6.18012788e+01,3.08109240e+00,1.24530043e-01,1.23209832e-01,2.47417597e+01,2.50068712e+01
1899.8918,1.58088229e+00,2.37876988e-02,2.46519871e-02,6.64579751e+01,6.41279864e+01,3.01840628e+00,1.20252116e-01,1.18945223e-01,2.51006501e+01,2.53764397e+01
1947.6202,1.56517992e+00,2.27110033e-02,2.34981454e-02,6.89172511e+01,6.66086575e+01,2.95764189e+00,1.16098476e-01,1.14890577e-01,2.54752861e+01,2.57431199e+01
1996.5477,1.54993340e+00,2.16816440e-02,2.23951707e-02,7.14859722e+01,6.92083763e+01,2.89874623e+00,1.12030113e-01,1.10827478e-01,2.58747058e+01,2.61554832e+01
2046.7043,1.53512813e+00,2.06948248e-02,2.13582150e-02,7.41793244e+01,7.18753008e+01,2.84166714e+00,1.08052693e-01,1.06865688e-01,2.62989016e+01,2.65910154e+01
2098.1209,1.52075000e+00,1.97503259e-02,2.03522010e-02,7.69987295e+01,7.47216482e+01,2.78635336e+00,1.04201680e-01,1.03004676e-01,2.67400042e+01,2.70507463e+01
2150.8292,1.50678545e+00,1.88465289e-02,1.94058926e-02,7.99502899e+01,7.76457691e+01,2.73275449e+00,1.00431769e-01,9.93370058e-02,2.72100602e+01,2.75099341e+01
2204.8617,1.49322137e+00,1.79818579e-02,1.84888785e-02,8.30404390e+01,8.07632207e+01,2.68082105e+00,9.67793617e-02,9.56740257e-02,2.77003382e+01,2.80203642e+01
