alpha_s,alpha_p,alpha_s_over_alpha_p,lambda,sigma_m_10,sigma_m_30,sigma_m_50,sigma_m_100,sigma_m_200,sigma_m_500,sigma_m_1000
3.768302e-03,3.681960e-05,102.345,24.6613,0.624964,0.606268,0.773660,0.711782,0.439734,0.187690,0.088892
3.801540e-03,3.649768e-05,104.158,24.8788,0.627929,0.610049,0.778962,0.715763,0.441986,0.188944,0.089796
3.835071e-03,3.617858e-05,106.004,25.0983,0.630901,0.613853,0.784287,0.719746,0.444238,0.190199,0.090705
3.868897e-03,3.586226e-05,107.882,25.3196,0.633881,0.617679,0.789635,0.723730,0.446490,0.191455,0.091617
3.903022e-03,3.554871e-05,109.794,25.5430,0.636868,0.621529,0.795005,0.727715,0.448743,0.192712,0.092532
3.937448e-03,3.523790e-05,111.739,25.7682,0.639863,0.625403,0.800397,0.731701,0.450997,0.193970,0.093451
3.972177e-03,3.492981e-05,113.719,25.9955,0.642865,0.629299,0.805813,0.735688,0.453251,0.195229,0.094373
4.007213e-03,3.462442e-05,115.734,26.2248,0.645875,0.633220,0.811251,0.739676,0.455507,0.196488,0.095298
4.042558e-03,3.432169e-05,117.784,26.4561,0.648892,0.637164,0.816711,0.743664,0.457763,0.197749,0.096227
4.078214e-03,3.402161e-05,119.871,26.6895,0.651917,0.641132,0.822193,0.747653,0.460021,0.199010,0.097159
4.114185e-03,3.372415e-05,121.995,26.9249,0.654949,0.645124,0.827698,0.751642,0.462281,0.200272,0.098094
4.150473e-03,3.342930e-05,124.157,27.1624,0.657989,0.649140,0.833226,0.755631,0.464542,0.201535,0.099032
4.187082e-03,3.313702e-05,126.357,27.4020,0.661036,0.653180,0.838775,0.759620,0.466804,0.202799,0.099973
4.224013e-03,3.284729e-05,128.595,27.6436,0.664091,0.657245,0.844346,0.763609,0.469068,0.204063,0.100918
4.261270e-03,3.256011e-05,130.874,27.8875,0.667153,0.661335,0.849940,0.767597,0.471335,0.205328,0.101864
4.298856e-03,3.227543e-05,133.193,28.1334,0.670223,0.665448,0.855555,0.771585,0.473603,0.206594,0.102814
4.336773e-03,3.199324e-05,135.553,28.3816,0.673300,0.669587,0.861193,0.775572,0.475874,0.207861,0.103767
4.375024e-03,3.171351e-05,137.955,28.6319,0.676385,0.673751,0.866852,0.779559,0.478147,0.209128,0.104722
4.413613e-03,3.143624e-05,140.399,28.8845,0.679477,0.677939,0.872533,0.783544,0.480423,0.210396,0.105680
4.452543e-03,3.116139e-05,142.887,29.1392,0.682576,0.682153,0.878236,0.787528,0.482701,0.211664,0.106640
4.491815e-03,3.088894e-05,145.418,29.3963,0.685683,0.686392,0.883960,0.791511,0.484982,0.212933,0.107603
4.531435e-03,3.061887e-05,147.995,29.6555,0.688797,0.690656,0.889706,0.795493,0.487267,0.214202,0.108569
4.571403e-03,3.035116e-05,150.617,29.9171,0.691919,0.694946,0.895473,0.799473,0.489555,0.215471,0.109536
4.611724e-03,3.008580e-05,153.286,30.1810,0.695049,0.699261,0.901262,0.803451,0.491846,0.216741,0.110506
4.652401e-03,2.982275e-05,156.002,30.4472,0.698185,0.703603,0.907073,0.807427,0.494141,0.218011,0.111479
4.693436e-03,2.956201e-05,158.766,30.7157,0.701330,0.707970,0.912904,0.811401,0.496439,0.219281,0.112453
4.734834e-03,2.930354e-05,161.579,30.9867,0.704481,0.712363,0.918757,0.815373,0.498742,0.220551,0.113430
4.776596e-03,2.904734e-05,164.442,31.2600,0.707640,0.716781,0.924631,0.819343,0.501049,0.221821,0.114409
4.818727e-03,2.879337e-05,167.355,31.5357,0.710807,0.721227,0.930525,0.823311,0.503360,0.223091,0.115389
4.861230e-03,2.854162e-05,170.321,31.8139,0.713981,0.725698,0.936441,0.827276,0.505676,0.224360,0.116372
4.904107e-03,2.829208e-05,173.339,32.0945,0.717162,0.730196,0.942378,0.831238,0.507997,0.225628,0.117356
4.947363e-03,2.804472e-05,176.410,32.3775,0.720351,0.734720,0.948335,0.835197,0.510323,0.226896,0.118342
4.991000e-03,2.779952e-05,179.535,32.6631,0.723547,0.739271,0.954314,0.839154,0.512654,0.228163,0.119330
5.035022e-03,2.755646e-05,182.717,32.9512,0.726750,0.743849,0.960313,0.843107,0.514990,0.229429,0.120320
5.079433e-03,2.731553e-05,185.954,33.2419,0.729961,0.748453,0.966332,0.847057,0.517332,0.230694,0.121311
5.124235e-03,2.707671e-05,189.249,33.5351,0.733180,0.753085,0.972372,0.851004,0.519679,0.231957,0.122304
5.169432e-03,2.683997e-05,192.602,33.8309,0.736405,0.757743,0.978432,0.854948,0.522033,0.233219,0.123298
5.215028e-03,2.660530e-05,196.015,34.1293,0.739638,0.762429,0.984513,0.858887,0.524393,0.234478,0.124293
5.261026e-03,2.637269e-05,199.488,34.4303,0.742879,0.767142,0.990614,0.862824,0.526759,0.235736,0.125289
5.307430e-03,2.614211e-05,203.022,34.7340,0.746127,0.771882,0.996735,0.866756,0.529132,0.236991,0.126287
5.354243e-03,2.591354e-05,206.619,35.0403,0.749382,0.776649,1.002876,0.870685,0.531512,0.238243,0.127286
5.401469e-03,2.568698e-05,210.280,35.3494,0.752645,0.781444,1.009038,0.874609,0.533899,0.239493,0.128285
5.449111e-03,2.546239e-05,214.006,35.6612,0.755914,0.786267,1.015219,0.878530,0.536293,0.240739,0.129286
5.497174e-03,2.523977e-05,217.798,35.9757,0.759192,0.791117,1.021420,0.882446,0.538694,0.241981,0.130287
5.545661e-03,2.501909e-05,221.657,36.2930,0.762476,0.795995,1.027640,0.886358,0.541103,0.243220,0.131289
5.594575e-03,2.480035e-05,225.585,36.6132,0.765768,0.800901,1.033881,0.890265,0.543520,0.244455,0.132291
5.643921e-03,2.458351e-05,229.582,36.9361,0.769068,0.805835,1.040141,0.894168,0.545945,0.245684,0.133294
5.693702e-03,2.436858e-05,233.649,37.2619,0.772374,0.810797,1.046420,0.898067,0.548378,0.246909,0.134297
5.743922e-03,2.415552e-05,237.789,37.5905,0.775688,0.815787,1.052719,0.901960,0.550819,0.248129,0.135300
5.794585e-03,2.394432e-05,242.002,37.9221,0.779010,0.820806,1.059037,0.905849,0.553269,0.249342,0.136304
5.845695e-03,2.373497e-05,246.290,38.2566,0.782338,0.825852,1.065374,0.909733,0.555728,0.250550,0.137307
5.897255e-03,2.352745e-05,250.654,38.5940,0.785674,0.830927,1.071731,0.913612,0.558196,0.251751,0.138310
5.949271e-03,2.332175e-05,255.095,38.9344,0.789018,0.836030,1.078107,0.917486,0.560673,0.252944,0.139312
6.001745e-03,2.311784e-05,259.615,39.2778,0.792368,0.841162,1.084501,0.921355,0.563159,0.254131,0.140314
6.054682e-03,2.291572e-05,264.215,39.6243,0.795726,0.846323,1.090915,0.925218,0.565654,0.255309,0.141315
6.108086e-03,2.271536e-05,268.897,39.9738,0.799091,0.851512,1.097347,0.929077,0.568159,0.256478,0.142315
6.161961e-03,2.251676e-05,273.661,40.3264,0.802464,0.856729,1.103798,0.932930,0.570674,0.257639,0.143314
6.216312e-03,2.231989e-05,278.510,40.6821,0.805843,0.861976,1.110267,0.936777,0.573199,0.258790,0.144312
6.271141e-03,2.212474e-05,283.445,41.0409,0.809231,0.867251,1.116755,0.940619,0.575734,0.259931,0.145308
6.326455e-03,2.193130e-05,288.467,41.4029,0.812625,0.872556,1.123262,0.944456,0.578280,0.261062,0.146302
6.382256e-03,2.173955e-05,293.578,41.7681,0.816026,0.877889,1.129787,0.948287,0.580835,0.262181,0.147295
6.438549e-03,2.154948e-05,298.780,42.1365,0.819435,0.883251,1.136330,0.952112,0.583401,0.263288,0.148285
6.495339e-03,2.136107e-05,304.074,42.5081,0.822851,0.888643,1.142891,0.955931,0.585978,0.264383,0.149273
6.552630e-03,2.117431e-05,309.461,42.8831,0.826275,0.894063,1.149470,0.959745,0.588566,0.265466,0.150259
6.610426e-03,2.098918e-05,314.944,43.2613,0.829705,0.899513,1.156068,0.963553,0.591164,0.266534,0.151241
6.668732e-03,2.080567e-05,320.525,43.6429,0.833143,0.904991,1.162683,0.967355,0.593773,0.267589,0.152220
6.727552e-03,2.062376e-05,326.204,44.0278,0.836588,0.910500,1.169316,0.971151,0.596394,0.268629,0.153196
6.786891e-03,2.044344e-05,331.984,44.4162,0.840040,0.916037,1.175966,0.974941,0.599025,0.269653,0.154169
6.846753e-03,2.026470e-05,337.866,44.8079,0.843500,0.921604,1.182635,0.978725,0.601668,0.270661,0.155137
6.907143e-03,2.008752e-05,343.852,45.2031,0.846967,0.927200,1.189321,0.982503,0.604322,0.271653,0.156101
6.968066e-03,1.991189e-05,349.945,45.6018,0.850441,0.932826,1.196024,0.986275,0.606987,0.272627,0.157060
7.029527e-03,1.973780e-05,356.145,46.0041,0.853922,0.938481,1.202745,0.990041,0.609664,0.273584,0.158015
7.091529e-03,1.956523e-05,362.456,46.4098,0.857410,0.944166,1.209482,0.993801,0.612353,0.274521,0.158964
7.154079e-03,1.939417e-05,368.878,46.8192,0.860906,0.949880,1.216237,0.997555,0.615052,0.275440,0.159908
7.217180e-03,1.922460e-05,375.414,47.2321,0.864409,0.955624,1.223010,1.001302,0.617764,0.276338,0.160846
7.280837e-03,1.905652e-05,382.065,47.6487,0.867918,0.961397,1.229799,1.005044,0.620486,0.277216,0.161778
7.345056e-03,1.888990e-05,388.835,48.0690,0.871436,0.967200,1.236605,1.008779,0.623221,0.278073,0.162703
7.409842e-03,1.872475e-05,395.725,48.4930,0.874960,0.973033,1.243427,1.012508,0.625967,0.278908,0.163622
7.475199e-03,1.856103e-05,402.736,48.9207,0.878491,0.978895,1.250267,1.016231,0.628724,0.279720,0.164533
