chi2,chi2_dof,m_chi_GeV,m_phi_MeV,alpha,lambda,is_relic,omega_h2,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1100,sigma_m_1200,sigma_m_1500,sigma_m_4700
3.1021,0.3102,86.851137,8.196729,1.925019e-03,20.3972,0,,1.520189e+00,1.961756e+00,2.068558e+00,2.012684e+00,1.953626e+00,1.891356e+00,6.100367e-01,5.298892e-01,8.550569e-02,7.385021e-02,4.963577e-02,5.286658e-03
3.1025,0.3103,75.431201,8.196729,1.955037e-03,17.9914,0,,1.671738e+00,1.923431e+00,2.117369e+00,2.148560e+00,2.123376e+00,2.081160e+00,6.944854e-01,6.529019e-01,1.016791e-01,8.820208e-02,5.901570e-02,6.491022e-03
3.1083,0.3108,100.000000,10.216981,2.934688e-03,28.7236,0,,1.031189e+00,1.394587e+00,1.490937e+00,1.459192e+00,1.417919e+00,1.367872e+00,4.804179e-01,4.210848e-01,9.082344e-02,8.056531e-02,5.729211e-02,6.975602e-03
3.1101,0.3110,86.851137,8.196729,1.918885e-03,20.3322,0,,1.517497e+00,1.956620e+00,2.063339e+00,2.007867e+00,1.949076e+00,1.887039e+00,6.084570e-01,5.284893e-01,8.505081e-02,7.344729e-02,4.935094e-02,5.253402e-03
3.1106,0.3111,75.431201,9.151275,2.089879e-03,17.2262,0,,1.333997e+00,1.416418e+00,1.591859e+00,1.662366e+00,1.664447e+00,1.650772e+00,6.145781e-01,5.361110e-01,9.196538e-02,7.949253e-02,5.346119e-02,5.930820e-03
3.1196,0.3120,86.851137,9.151275,2.192147e-03,20.8048,0,,1.255879e+00,1.531709e+00,1.671237e+00,1.674362e+00,1.644894e+00,1.603269e+00,5.178741e-01,4.954059e-01,8.526534e-02,7.365371e-02,4.981728e-02,5.660862e-03
3.1207,0.3121,100.000000,10.216981,2.925159e-03,28.6304,0,,1.029490e+00,1.391153e+00,1.487492e+00,1.456076e+00,1.415012e+00,1.365181e+00,4.793548e-01,4.201670e-01,9.041334e-02,8.018422e-02,5.699384e-02,6.931546e-03
3.1212,0.3121,86.851137,10.216981,2.669573e-03,22.6931,0,,1.077411e+00,1.250407e+00,1.404925e+00,1.446215e+00,1.436850e+00,1.414371e+00,5.035372e-01,4.383257e-01,9.272956e-02,8.200843e-02,5.657486e-02,6.685186e-03
3.1232,0.3123,86.851137,9.151275,2.189996e-03,20.7844,0,,1.255206e+00,1.530481e+00,1.669922e+00,1.673104e+00,1.643689e+00,1.602124e+00,5.175243e-01,4.950161e-01,8.513146e-02,7.353465e-02,4.973167e-02,5.649916e-03
3.1260,0.3126,100.000000,9.151275,2.367085e-03,25.8662,0,,1.200687e+00,1.667484e+00,1.722525e+00,1.643064e+00,1.586464e+00,1.521217e+00,4.902460e-01,4.402972e-01,8.434063e-02,7.160853e-02,4.952055e-02,5.461523e-03
