chi2,chi2_dof,m_chi_GeV,m_phi_MeV,alpha,lambda,is_relic,omega_h2,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1000,sigma_m_1100,sigma_m_1200,sigma_m_4700
33.6769,3.3677,37.275937,12.735167,1.042102e-02,30.5024,0,,2.084083e+00,1.932542e+00,1.836070e+00,1.819936e+00,1.855447e+00,1.915227e+00,2.189551e+00,2.038379e+00,8.551387e-01,7.917155e-01,7.357402e-01,1.438520e-01
33.6834,3.3683,10.481131,30.742045,4.093890e-02,13.9576,0,,4.272920e-01,7.421691e-01,7.848931e-01,8.017021e-01,8.058729e-01,8.085199e-01,7.670082e-01,7.548277e-01,8.526373e-01,8.714566e-01,8.820471e-01,4.419007e-01
33.6855,3.3685,21.209509,24.663274,3.681851e-02,31.6626,0,,9.924716e-01,1.002591e+00,9.964322e-01,9.884297e-01,9.837949e-01,9.787536e-01,1.028971e+00,1.100885e+00,9.435216e-01,8.849061e-01,8.343531e-01,3.156150e-01
33.7473,3.3747,18.420700,10.216981,3.752337e-03,6.7653,0,,2.414831e+00,2.471709e+00,2.432776e+00,2.381047e+00,2.351967e+00,2.321608e+00,2.217633e+00,2.189674e+00,8.666218e-01,7.705886e-01,6.887545e-01,7.077459e-02
33.7652,3.3765,28.117687,14.218234,1.007200e-02,19.9182,0,,1.761823e+00,1.711534e+00,1.664459e+00,1.609554e+00,1.582254e+00,1.557588e+00,2.060953e+00,2.008767e+00,8.730348e-01,8.059606e-01,7.475831e-01,1.437254e-01
33.7972,3.3797,86.851137,3.790997,6.814357e-04,15.6116,0,,6.918069e+00,6.978043e+00,5.938359e+00,5.074345e+00,4.716666e+00,4.401134e+00,9.386143e-01,7.928521e-01,8.000370e-02,6.618033e-02,5.545149e-02,3.422078e-03
33.8002,3.3800,75.431201,5.275657,2.173530e-03,31.0771,0,,5.527403e+00,7.815896e+00,7.248857e+00,6.459040e+00,6.088493e+00,5.751521e+00,2.123480e+00,1.921310e+00,4.014321e-01,3.437508e-01,2.969472e-01,2.152786e-02
33.8183,3.3818,5.963623,34.322093,6.381202e-02,11.0876,0,,2.070745e-01,5.660846e-01,7.085292e-01,8.041826e-01,8.385714e-01,8.661612e-01,9.765264e-01,9.728378e-01,8.410672e-01,8.425647e-01,8.508034e-01,8.392725e-01
33.8559,3.3856,86.851137,2.185488,1.216612e-04,4.8348,0,,6.964000e+00,3.967010e+00,2.858902e+00,2.126801e+00,1.855361e+00,1.629808e+00,1.245816e-01,9.950679e-02,7.446640e-03,6.111880e-03,5.124706e-03,3.188491e-04
33.8667,3.3867,24.420531,19.786487,2.216479e-02,27.3558,0,,1.251636e+00,1.241869e+00,1.226708e+00,1.207581e+00,1.196647e+00,1.184889e+00,1.495027e+00,1.544629e+00,9.187146e-01,8.603694e-01,8.105534e-01,2.532023e-01
33.8909,3.3891,18.420700,24.663274,2.891479e-02,21.5961,0,,8.830129e-01,9.370593e-01,9.344139e-01,9.296726e-01,9.268093e-01,9.236612e-01,8.403048e-01,8.802524e-01,9.476309e-01,8.957893e-01,8.474031e-01,2.843172e-01
33.9032,3.3903,100.000000,2.185488,1.219194e-04,5.5786,0,,6.937850e+00,3.636376e+00,2.582224e+00,1.904839e+00,1.656750e+00,1.451747e+00,1.087519e-01,8.674660e-02,6.470612e-03,5.305203e-03,4.442739e-03,2.777479e-04
33.9270,3.3927,86.851137,0.521934,1.082260e-05,1.8009,0,,6.368591e+00,1.188373e+00,6.779103e-01,4.354014e-01,3.602411e-01,3.026323e-01,1.634571e-02,1.294266e-02,9.748114e-04,8.047716e-04,6.756667e-04,2.315130e-05
33.9509,3.3951,5.963623,24.663274,2.056263e-02,4.9721,0,,1.595306e-01,5.252612e-01,6.791835e-01,7.864710e-01,8.263354e-01,8.590696e-01,1.012301e+00,1.006746e+00,8.411301e-01,8.387100e-01,8.389001e-01,4.951860e-01
33.9641,3.3964,32.374575,10.216981,5.292221e-03,16.7695,0,,2.655832e+00,2.471037e+00,2.349612e+00,2.299480e+00,2.313572e+00,2.351057e+00,2.535250e+00,2.367410e+00,8.014381e-01,7.217657e-01,6.532407e-01,7.803912e-02
34.0213,3.4021,49.417134,1.406644,4.456608e-05,1.5657,0,,6.840299e+00,3.098721e+00,2.075463e+00,1.461841e+00,1.247827e+00,1.075803e+00,7.159401e-02,5.707515e-02,4.234118e-03,3.482562e-03,2.913991e-03,1.811188e-04
34.0789,3.4079,7.906043,38.319054,1.014661e-01,20.9346,0,,3.817419e-01,7.413950e-01,8.181142e-01,8.546995e-01,8.650993e-01,8.723693e-01,8.699147e-01,8.637503e-01,8.253164e-01,8.634162e-01,9.021671e-01,7.601969e-01
34.1325,3.4132,75.431201,0.810922,1.813633e-05,1.6870,0,,6.478408e+00,1.489707e+00,8.736924e-01,5.707685e-01,4.748513e-01,4.009215e-01,2.262147e-02,1.791057e-02,1.323785e-03,1.090972e-03,9.153895e-04,4.752068e-05
34.1435,3.4144,56.898660,0.810922,1.697026e-05,1.1907,0,,6.526150e+00,1.659323e+00,9.876079e-01,6.504512e-01,5.426182e-01,4.592673e-01,2.665000e-02,2.112531e-02,1.552045e-03,1.277504e-03,1.070922e-03,6.438905e-05
34.1539,3.4154,75.431201,4.725367,1.499140e-03,23.9308,0,,6.060356e+00,8.017428e+00,7.312635e+00,6.476018e+00,6.094698e+00,5.749082e+00,1.849464e+00,1.644766e+00,2.653115e-01,2.233650e-01,1.902133e-01,1.260559e-02
34.1657,3.4166,100.000000,2.724146,2.248944e-04,8.2556,0,,7.106540e+00,4.746719e+00,3.652175e+00,2.879223e+00,2.578027e+00,2.319770e+00,2.312082e-01,1.862237e-01,1.443719e-02,1.186817e-02,9.923552e-03,6.126465e-04
34.2235,3.4224,49.417134,3.790997,6.025712e-04,7.8548,0,,6.576870e+00,7.019274e+00,6.938155e+00,6.504846e+00,6.235482e+00,5.956026e+00,1.317720e+00,1.108514e+00,1.108612e-01,9.173928e-02,7.729170e-02,4.763324e-03
