alpha_s,alpha_p,alpha_s_over_alpha_p,lambda,sigma_m_10,sigma_m_30,sigma_m_50,sigma_m_100,sigma_m_200,sigma_m_500,sigma_m_1000
3.537258e-02,3.922457e-06,9017.964,299.7746,2.485870,4.456209,3.601879,1.911324,0.447233,0.262133,0.152348
3.568457e-02,3.888162e-06,9177.748,302.4187,2.492881,4.471742,3.609138,1.910634,0.447221,0.264047,0.153232
3.599932e-02,3.854167e-06,9340.363,305.0861,2.499908,4.487286,3.616391,1.909846,0.447275,0.265942,0.147668
3.631684e-02,3.820470e-06,9505.859,307.7771,2.506950,4.502841,3.623638,1.908959,0.447394,0.267816,0.149521
3.663717e-02,3.787067e-06,9674.287,310.4918,2.514008,4.518406,3.630877,1.907972,0.447578,0.269669,0.151403
3.696032e-02,3.753956e-06,9845.700,313.2304,2.521082,4.533982,3.638111,1.906885,0.447824,0.271500,0.153309
3.728632e-02,3.721134e-06,10020.150,315.9932,2.528172,4.549568,3.645337,1.905698,0.448132,0.273309,0.155230
3.761520e-02,3.688600e-06,10197.690,318.7803,2.535278,4.565164,3.652558,1.904408,0.448500,0.275095,0.157160
3.794697e-02,3.656350e-06,10378.377,321.5921,2.542400,4.580769,3.659772,1.903016,0.448927,0.276857,0.159091
3.828168e-02,3.624381e-06,10562.265,324.4286,2.549539,4.596384,3.666981,1.901521,0.449412,0.278596,0.162888
3.861933e-02,3.592693e-06,10749.411,327.2901,2.556695,4.612007,3.674183,1.899923,0.449953,0.280311,0.164345
3.895997e-02,3.561281e-06,10939.873,330.1769,2.563867,4.627640,3.681380,1.898220,0.450549,0.282002,0.165841
3.930360e-02,3.530144e-06,11133.710,333.0892,2.571057,4.643281,3.688571,1.896412,0.451199,0.283670,0.167371
3.965027e-02,3.499280e-06,11330.981,336.0271,2.578263,4.658930,3.695757,1.894500,0.451900,0.285313,0.168930
4.000000e-02,3.468685e-06,11531.748,338.9910,2.585487,4.674587,3.702937,1.892481,0.452652,0.286933,0.170515
