v_km_s,sigma_m_BP1,eta_BP1,sigma_m_MAP,eta_MAP
22.9973,5.053260e-01,0.1126,1.454319e+00,0.6945
23.3418,5.061550e-01,0.1079,1.469403e+00,0.6927
23.6914,5.069501e-01,0.1033,1.484585e+00,0.6894
24.0462,5.077117e-01,0.0987,1.499832e+00,0.6845
24.4064,5.084403e-01,0.0942,1.515111e+00,0.6783
24.7719,5.091361e-01,0.0898,1.530387e+00,0.6707
25.1430,5.097995e-01,0.0854,1.545629e+00,0.6619
25.5196,5.104310e-01,0.0811,1.560806e+00,0.6521
25.9018,5.110309e-01,0.0769,1.575890e+00,0.6412
26.2897,5.115995e-01,0.0727,1.590851e+00,0.6295
26.6835,5.121372e-01,0.0686,1.605663e+00,0.6169
27.0832,5.126442e-01,0.0645,1.620299e+00,0.6035
27.4888,5.131209e-01,0.0605,1.634735e+00,0.5894
27.9006,5.135676e-01,0.0566,1.648947e+00,0.5748
28.3184,5.139846e-01,0.0526,1.662914e+00,0.5596
28.7426,5.143720e-01,0.0488,1.676613e+00,0.5439
29.1731,5.147302e-01,0.0449,1.690024e+00,0.5277
29.6101,5.150595e-01,0.0411,1.703128e+00,0.5112
30.0536,5.153599e-01,0.0374,1.715907e+00,0.4942
30.5037,5.156318e-01,0.0336,1.728342e+00,0.4770
30.9606,5.158754e-01,0.0299,1.740416e+00,0.4594
31.4243,5.160907e-01,0.0262,1.752114e+00,0.4416
31.8950,5.162781e-01,0.0226,1.763420e+00,0.4235
32.3727,5.164376e-01,0.0190,1.774318e+00,0.4052
32.8576,5.165693e-01,0.0154,1.784794e+00,0.3866
33.3497,5.166734e-01,0.0118,1.794834e+00,0.3679
33.8492,5.167501e-01,0.0082,1.804424e+00,0.3489
34.3562,5.167993e-01,0.0046,1.813551e+00,0.3297
34.8708,5.168211e-01,0.0011,1.822203e+00,0.3104
35.3931,5.168157e-01,-0.0025,1.830367e+00,0.2909
35.9232,5.167830e-01,-0.0060,1.838030e+00,0.2711
36.4613,5.167231e-01,-0.0096,1.845182e+00,0.2512
37.0074,5.166360e-01,-0.0131,1.851812e+00,0.2312
37.5617,5.165218e-01,-0.0167,1.857908e+00,0.2109
38.1243,5.163802e-01,-0.0202,1.863461e+00,0.1905
38.6953,5.162115e-01,-0.0238,1.868462e+00,0.1699
39.2749,5.160154e-01,-0.0273,1.872901e+00,0.1492
39.8631,5.157920e-01,-0.0309,1.876771e+00,0.1284
40.4602,5.155412e-01,-0.0345,1.880063e+00,0.1074
41.0662,5.152628e-01,-0.0381,1.882772e+00,0.0863
41.6813,5.149569e-01,-0.0418,1.884891e+00,0.0650
42.3056,5.146232e-01,-0.0454,1.886416e+00,0.0437
42.9393,5.142616e-01,-0.0491,1.887343e+00,0.0223
43.5824,5.138721e-01,-0.0528,1.887669e+00,0.0009
44.2352,5.134544e-01,-0.0566,1.887393e+00,-0.0206
44.8977,5.130084e-01,-0.0603,1.886513e+00,-0.0421
45.5702,5.125340e-01,-0.0641,1.885030e+00,-0.0636
46.2528,5.120309e-01,-0.0680,1.882947e+00,-0.0851
46.9455,5.114989e-01,-0.0719,1.880266e+00,-0.1065
47.6487,5.109380e-01,-0.0758,1.876991e+00,-0.1279
48.3624,5.103478e-01,-0.0797,1.873129e+00,-0.1491
49.0867,5.097283e-01,-0.0837,1.868686e+00,-0.1703
49.8219,5.090791e-01,-0.0878,1.863670e+00,-0.1912
50.5682,5.084001e-01,-0.0918,1.858091e+00,-0.2120
51.3256,5.076910e-01,-0.0960,1.851960e+00,-0.2326
52.0943,5.069517e-01,-0.1001,1.845287e+00,-0.2529
52.8746,5.061819e-01,-0.1043,1.838087e+00,-0.2729
53.6666,5.053815e-01,-0.1086,1.830373e+00,-0.2927
54.4704,5.045502e-01,-0.1129,1.822160e+00,-0.3121
55.2862,5.036880e-01,-0.1172,1.813464e+00,-0.3312
56.1143,5.027945e-01,-0.1216,1.804302e+00,-0.3500
56.9548,5.018696e-01,-0.1261,1.794691e+00,-0.3683
57.8078,5.009132e-01,-0.1306,1.784650e+00,-0.3862
58.6737,4.999251e-01,-0.1351,1.774198e+00,-0.4037
59.5525,4.989053e-01,-0.1397,1.763354e+00,-0.4208
60.4445,4.978536e-01,-0.1443,1.752139e+00,-0.4373
61.3498,4.967699e-01,-0.1489,1.740573e+00,-0.4534
